Filter_Return;Filter Central;Ship Mode;Customer ID;Segment;Region;Row ID;Product Name;Quantity;Discount;Profit;Returned;Person
;True;Standard Class;CM-12715;Corporate;Central;7548;GBC Personal VeloBind Strips;5,0;0,8;-19,168;;Kelly Williams
;True;Standard Class;CM-12715;Corporate;Central;7549;Avery Non-Stick Binders;1,0;0,8;-1,5715;;Kelly Williams
;True;Second Class;CC-12220;Consumer;Central;8381;"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled";3,0;0,2;3,405;;Kelly Williams
True;True;Standard Class;MG-17875;Home Office;Central;6530;Staple-on labels;3,0;0,2;2,3409;Yes;Kelly Williams
True;True;Standard Class;MG-17875;Home Office;Central;6531;GBC Plastic Binding Combs;3,0;0,8;-6,8634;Yes;Kelly Williams
;True;Standard Class;DP-13000;Consumer;Central;7981;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";2,0;0,2;5,5512;;Kelly Williams
;True;Standard Class;PG-18895;Consumer;Central;544;SanDisk Cruzer 64 GB USB Flash Drive;2,0;0,2;7,264;;Kelly Williams
;True;Standard Class;PG-18895;Consumer;Central;545;Xblue XB-1670-86 X16 Small Office Telephone - Titanium;1,0;0,2;6,2995;;Kelly Williams
;True;Standard Class;PG-18895;Consumer;Central;546;Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting;4,0;0,6;-84,2928;;Kelly Williams
;True;Second Class;SP-20620;Corporate;Central;3305;Fashion Color Clasp Envelopes;3,0;0,2;4,7067;;Kelly Williams
;True;Second Class;SP-20620;Corporate;Central;3306;Plantronics CS 50-USB - headset - Convertible, Monaural;2,0;0,2;19,0386;;Kelly Williams
;True;Second Class;SP-20620;Corporate;Central;3307;AT&T 1080 Corded phone;3,0;0,2;28,7679;;Kelly Williams
;True;Second Class;SP-20620;Corporate;Central;3308;Acco Hanging Data Binders;3,0;0,8;-3,6576;;Kelly Williams
;True;Second Class;SP-20620;Corporate;Central;3309;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;2,0;0,2;14,3952;;Kelly Williams
;True;Standard Class;TB-21175;Corporate;Central;1794;Companion Letter/Legal File, Black;2,0;0,2;6,0416;;Kelly Williams
;True;First Class;SZ-20035;Home Office;Central;5261;Panasonic KX TS3282B Corded phone;3,0;0,2;14,7582;;Kelly Williams
;True;First Class;SZ-20035;Home Office;Central;5262;Angle-D Binders with Locking Rings, Label Holders;2,0;0,8;-4,818;;Kelly Williams
;True;First Class;SZ-20035;Home Office;Central;5263;Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer;1,0;0,3;-22,948;;Kelly Williams
;True;First Class;SZ-20035;Home Office;Central;5264;Belkin Standard 104 key USB Keyboard;4,0;0,2;-2,918;;Kelly Williams
;True;First Class;SZ-20035;Home Office;Central;5265;Dixon Ticonderoga Core-Lock Colored Pencils;3,0;0,2;3,5529;;Kelly Williams
;True;First Class;EH-14185;Consumer;Central;3394;Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges;1,0;0,8;-11,0848;;Kelly Williams
;True;Standard Class;VS-21820;Consumer;Central;7661;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";3,0;0,6;-53,7096;;Kelly Williams
;True;Standard Class;VS-21820;Consumer;Central;7662;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";7,0;0,8;-18,2525;;Kelly Williams
;True;Standard Class;PK-19075;Consumer;Central;17;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";6,0;0,0;13,3176;;Kelly Williams
;True;Second Class;NR-18550;Consumer;Central;4722;Bevis Round Conference Table Top, X-Base;3,0;0,5;-209,7693;;Kelly Williams
;True;Standard Class;DC-13285;Consumer;Central;757;Recycled Eldon Regeneration Jumbo File;2,0;0,0;6,8768;;Kelly Williams
;True;Standard Class;DC-13285;Consumer;Central;758;Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...;4,0;0,0;47,92;;Kelly Williams
;True;Standard Class;BM-11785;Consumer;Central;9140;Logitech Gaming G510s - Keyboard;7,0;0,2;95,1888;;Kelly Williams
;True;Second Class;ST-20530;Consumer;Central;5467;Memo Book, 100 Message Capacity, 5 3/8” x 11”;3,0;0,2;6,066;;Kelly Williams
;True;Standard Class;BT-11395;Corporate;Central;7371;Digium D40 VoIP phone;2,0;0,0;74,8142;;Kelly Williams
;True;Second Class;DL-13315;Consumer;Central;8981;Avery Flip-Chart Easel Binder, Black;2,0;0,8;-14,7708;;Kelly Williams
;True;Standard Class;EJ-13720;Consumer;Central;4713;Xerox 224;7,0;0,2;12,7008;;Kelly Williams
;True;Standard Class;EJ-13720;Consumer;Central;4714;Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats;2,0;0,6;-74,9526;;Kelly Williams
;True;Standard Class;LC-16930;Corporate;Central;4521;Enermax Briskie RF Wireless Keyboard and Mouse Combo;3,0;0,0;22,4316;;Kelly Williams
;True;Standard Class;LC-16930;Corporate;Central;4522;Master Caster Door Stop, Brown;4,0;0,0;6,9088;;Kelly Williams
;True;First Class;VP-21760;Corporate;Central;8830;Fellowes Staxonsteel Drawer Files;2,0;0,0;54,0876;;Kelly Williams
;True;Standard Class;PG-18820;Consumer;Central;8481;Griffin GC17055 Auxiliary Audio Cable;2,0;0,0;10,0744;;Kelly Williams
;True;First Class;VP-21760;Corporate;Central;7443;Xerox 195;2,0;0,2;3,7408;;Kelly Williams
;True;First Class;VP-21760;Corporate;Central;7444;Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16;3,0;0,2;20,7459;;Kelly Williams
;True;Second Class;LF-17185;Consumer;Central;2720;12-1/2 Diameter Round Wall Clock;3,0;0,6;-14,3856;;Kelly Williams
;True;First Class;EB-13870;Consumer;Central;4560;Global Value Mid-Back Manager's Chair, Gray;3,0;0,3;-9,1335;;Kelly Williams
;True;Standard Class;ED-13885;Home Office;Central;2084;Alphabetical Labels for Top Tab Filing;2,0;0,2;8,88;;Kelly Williams
;True;Standard Class;RW-19630;Corporate;Central;2006;BIC Brite Liner Grip Highlighters, Assorted, 5/Pack;7,0;0,0;11,5752;;Kelly Williams
;True;Standard Class;RW-19630;Corporate;Central;2007;Sabrent 4-Port USB 2.0 Hub;7,0;0,0;16,1602;;Kelly Williams
;True;First Class;NC-18340;Consumer;Central;7296;Boston Home & Office Model 2000 Electric Pencil Sharpeners;2,0;0,2;2,838;;Kelly Williams
;True;First Class;NC-18340;Consumer;Central;7297;OIC Thumb-Tacks;6,0;0,2;1,8468;;Kelly Williams
;True;Standard Class;PO-19195;Home Office;Central;740;Avery 508;3,0;0,2;4,2717;;Kelly Williams
;True;Standard Class;PO-19195;Home Office;Central;741;SAFCO Boltless Steel Shelving;3,0;0,2;-64,7748;;Kelly Williams
;True;Standard Class;PO-19195;Home Office;Central;742;GBC Standard Plastic Binding Systems Combs;2,0;0,8;-5,487;;Kelly Williams
;True;Second Class;SC-20305;Consumer;Central;9831;Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset;4,0;0,2;95,9904;;Kelly Williams
;True;Second Class;SC-20305;Consumer;Central;9832;Longer-Life Soft White Bulbs;7,0;0,6;-2,5872;;Kelly Williams
;True;Standard Class;BC-11125;Home Office;Central;5278;Padded Folding Chairs, Black, 4/Carton;6,0;0,3;-9,7176;;Kelly Williams
;True;Standard Class;VF-21715;Home Office;Central;6548;Novimex Swivel Fabric Task Chair;6,0;0,3;-172,1172;;Kelly Williams
;True;Standard Class;VF-21715;Home Office;Central;6549;"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";3,0;0,2;5,6784;;Kelly Williams
;True;Standard Class;MM-17920;Consumer;Central;9896;Maxell Pro 80 Minute CD-R, 10/Pack;11,0;0,2;38,456;;Kelly Williams
;True;Standard Class;AB-10600;Corporate;Central;4131;GBC White Gloss Covers, Plain Front;5,0;0,8;-23,892;;Kelly Williams
;True;Standard Class;VW-21775;Corporate;Central;3270;Maxell 4.7GB DVD-R 5/Pack;3,0;0,0;1,3068;;Kelly Williams
;True;Standard Class;VW-21775;Corporate;Central;3271;Advantus Push Pins;3,0;0,0;2,6814;;Kelly Williams
;True;Standard Class;MS-17980;Corporate;Central;4502;Xerox 225;5,0;0,2;9,072;;Kelly Williams
;True;Standard Class;MS-17980;Corporate;Central;4503;Staples;6,0;0,2;7,1928;;Kelly Williams
;True;Standard Class;SC-20095;Consumer;Central;4097;Xerox 217;5,0;0,0;15,552;;Kelly Williams
;True;Standard Class;SC-20095;Consumer;Central;4098;Carina Double Wide Media Storage Towers in Natural & Black;5,0;0,0;16,196;;Kelly Williams
;True;Standard Class;SC-20095;Consumer;Central;4099;Ibico EPK-21 Electric Binding System;5,0;0,0;4630,4755;;Kelly Williams
;True;Standard Class;SC-20095;Consumer;Central;4100;GBC Instant Report Kit;2,0;0,0;6,47;;Kelly Williams
;True;Standard Class;PM-18940;Consumer;Central;1166;Fellowes Binding Cases;4,0;0,0;21,06;;Kelly Williams
;True;Standard Class;RB-19465;Home Office;Central;5979;KI Adjustable-Height Table;5,0;0,0;111,774;;Kelly Williams
;True;Standard Class;RB-19465;Home Office;Central;5980;Avery Recycled Flexi-View Covers for Binding Systems;2,0;0,0;15,3888;;Kelly Williams
;True;Standard Class;RB-19465;Home Office;Central;5981;Padded Folding Chairs, Black, 4/Carton;2,0;0,0;45,3488;;Kelly Williams
;True;Standard Class;RB-19465;Home Office;Central;5982;Akro-Mils 12-Gallon Tote;2,0;0,0;5,7594;;Kelly Williams
;True;Standard Class;MG-17890;Home Office;Central;7204;Master Caster Door Stop, Large Brown;3,0;0,6;-4,8048;;Kelly Williams
;True;Standard Class;BN-11515;Consumer;Central;1346;Bionaire Personal Warm Mist Humidifier/Vaporizer;2,0;0,0;36,5742;;Kelly Williams
;True;Standard Class;BN-11515;Consumer;Central;1347;Memo Book, 100 Message Capacity, 5 3/8” x 11”;7,0;0,0;23,59;;Kelly Williams
;True;Standard Class;BN-11515;Consumer;Central;1348;Newell 35;6,0;0,0;5,7072;;Kelly Williams
;True;Standard Class;BN-11515;Consumer;Central;1349;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;10,0;0,0;25,098;;Kelly Williams
;True;Standard Class;BN-11515;Consumer;Central;1350;Avery Non-Stick Heavy Duty View Round Locking Ring Binders;6,0;0,0;17,2224;;Kelly Williams
;True;Standard Class;HD-14785;Home Office;Central;9590;"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";3,0;0,2;5,6784;;Kelly Williams
;True;Standard Class;HD-14785;Home Office;Central;9591;Avery Arch Ring Binders;9,0;0,8;-172,557;;Kelly Williams
;True;Standard Class;SP-20860;Corporate;Central;7007;Dana Swing-Arm Lamps;2,0;0,6;-7,476;;Kelly Williams
;True;Standard Class;MS-17365;Consumer;Central;4831;Belkin 8 Outlet Surge Protector;6,0;0,0;68,8464;;Kelly Williams
;True;Standard Class;MS-17365;Consumer;Central;4832;Portable Personal File Box;3,0;0,0;9,8901;;Kelly Williams
;True;Standard Class;MS-17365;Consumer;Central;4833;X-Rack File for Hanging Folders;2,0;0,0;5,8708;;Kelly Williams
;True;Standard Class;MS-17365;Consumer;Central;4834;"ACCOHIDE 3-Ring Binder, Blue, 1""";3,0;0,0;5,8233;;Kelly Williams
;True;First Class;SB-20185;Consumer;Central;8867;Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order;5,0;0,3;-70,49;;Kelly Williams
;True;First Class;SB-20185;Consumer;Central;8868;QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3;2,0;0,2;3,475;;Kelly Williams
;True;First Class;RP-19390;Consumer;Central;1792;Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;8,0;0,0;673,8816;;Kelly Williams
;True;First Class;RP-19390;Consumer;Central;1793;Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black;4,0;0,0;12,5928;;Kelly Williams
;True;Standard Class;SS-20140;Corporate;Central;3708;Staple-based wall hangings;2,0;0,6;-2,5472;;Kelly Williams
;True;Standard Class;SS-20140;Corporate;Central;3709;Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;3,0;0,8;-87,1488;;Kelly Williams
;True;Standard Class;SS-20140;Corporate;Central;3710;Maxell 4.7GB DVD-R 5/Pack;7,0;0,2;1,6632;;Kelly Williams
;True;Standard Class;RD-19930;Consumer;Central;8218;Colored Push Pins;3,0;0,2;0,8688;;Kelly Williams
;True;Standard Class;RD-19930;Consumer;Central;8219;DAX Natural Wood-Tone Poster Frame;3,0;0,6;-19,0656;;Kelly Williams
;True;Standard Class;RD-19930;Consumer;Central;8220;Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set;2,0;0,2;1,7248;;Kelly Williams
;True;Standard Class;RD-19930;Consumer;Central;8221;Avery Hidden Tab Dividers for Binding Systems;3,0;0,8;-3,0396;;Kelly Williams
;True;Standard Class;RD-19930;Consumer;Central;8222;Sterling Rubber Bands by Alliance;4,0;0,2;-3,768;;Kelly Williams
;True;Standard Class;WB-21850;Consumer;Central;6107;Belkin Premiere Surge Master II 8-outlet surge protector;2,0;0,8;-49,5516;;Kelly Williams
;True;Standard Class;WB-21850;Consumer;Central;6108;Logitech Desktop MK120 Mouse and keyboard Combo;5,0;0,2;-8,18;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5165;Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink;2,0;0,0;1,521;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5166;Xerox 199;3,0;0,0;5,778;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5167;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);3,0;0,0;7,128;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5168;Hon Every-Day Series Multi-Task Chairs;3,0;0,0;112,788;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5169;Acco Perma 3000 Stacking Storage Drawers;3,0;0,0;11,9586;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;5170;Hot File 7-Pocket, Floor Stand;3,0;0,0;160,623;;Kelly Williams
;True;Standard Class;BT-11680;Consumer;Central;8573;StarTech.com 10/100 VDSL2 Ethernet Extender Kit;5,0;0,4;-199,77;;Kelly Williams
;True;Standard Class;MN-17935;Consumer;Central;1333;Wilson Jones Easy Flow II Sheet Lifters;3,0;0,8;-1,728;;Kelly Williams
;True;Standard Class;MN-17935;Consumer;Central;1334;Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter;2,0;0,8;-13,93;;Kelly Williams
;True;Standard Class;DP-13000;Consumer;Central;9904;GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack;3,0;0,6;-6,9102;;Kelly Williams
;True;Standard Class;DP-13000;Consumer;Central;9905;Logitech G602 Wireless Gaming Mouse;2,0;0,2;25,5968;;Kelly Williams
;True;Standard Class;NG-18430;Consumer;Central;1983;Jabra Supreme Plus Driver Edition Headset;4,0;0,0;134,3888;;Kelly Williams
;True;First Class;RA-19915;Consumer;Central;2690;BIC Brite Liner Grip Highlighters;4,0;0,2;1,64;;Kelly Williams
True;True;First Class;MN-17935;Consumer;Central;5801;Polycom VVX 310 VoIP phone;4,0;0,2;43,1976;Yes;Kelly Williams
True;True;First Class;MN-17935;Consumer;Central;5802;Xerox 200;2,0;0,2;3,6288;Yes;Kelly Williams
True;True;First Class;TC-20980;Corporate;Central;3186;Satellite Sectional Post Binders;3,0;0,8;-44,2782;Yes;Kelly Williams
True;True;First Class;TC-20980;Corporate;Central;3187;Staple envelope;3,0;0,2;26,9526;Yes;Kelly Williams
;True;Second Class;TB-21520;Consumer;Central;6874;GBC Standard Recycled Report Covers, Clear Plastic Sheets;5,0;0,8;-17,248;;Kelly Williams
;True;Second Class;TB-21520;Consumer;Central;6875;Case Logic 2.4GHz Wireless Keyboard;3,0;0,2;-17,9964;;Kelly Williams
;True;Standard Class;MA-17560;Home Office;Central;5069;Sharp 1540cs Digital Laser Copier;1,0;0,0;274,995;;Kelly Williams
;True;Standard Class;MA-17560;Home Office;Central;5070;Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets;3,0;0,1;37,23;;Kelly Williams
;True;Standard Class;MA-17560;Home Office;Central;5071;Globe Weis Peel & Seel First Class Envelopes;3,0;0,0;17,253;;Kelly Williams
;True;Standard Class;MA-17560;Home Office;Central;5072;Nu-Dell Float Frame 11 x 14 1/2;6,0;0,0;22,6296;;Kelly Williams
;True;Standard Class;MA-17560;Home Office;Central;5073;Motorola Droid Maxx;2,0;0,0;83,9944;;Kelly Williams
;True;First Class;DV-13465;Consumer;Central;2157;Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers;3,0;0,0;0,0;;Kelly Williams
;True;First Class;DV-13465;Consumer;Central;2158;Fellowes Bankers Box Recycled Super Stor/Drawer;3,0;0,0;9,7164;;Kelly Williams
;True;Standard Class;GZ-14470;Consumer;Central;8894;SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black;2,0;0,3;41,934;;Kelly Williams
;True;Second Class;ME-17725;Consumer;Central;7399;Xerox 1949;9,0;0,2;12,9978;;Kelly Williams
;True;Second Class;ME-17725;Consumer;Central;7400;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack;4,0;0,2;3,278;;Kelly Williams
;True;First Class;BM-11650;Corporate;Central;2791;Fellowes Basic Home/Office Series Surge Protectors;2,0;0,0;7,5284;;Kelly Williams
;True;First Class;BM-11650;Corporate;Central;2792;Acco 6 Outlet Guardian Standard Surge Suppressor;3,0;0,0;10,881;;Kelly Williams
;True;First Class;BM-11650;Corporate;Central;2793;Xerox 224;1,0;0,0;3,1104;;Kelly Williams
;True;Standard Class;SS-20410;Consumer;Central;9479;Acco Hot Clips Clips to Go;5,0;0,2;4,1125;;Kelly Williams
;True;Standard Class;SS-20410;Consumer;Central;9480;Avery Heavy-Duty EZD View Binder with Locking Rings;3,0;0,8;-6,5076;;Kelly Williams
;True;Standard Class;SS-20410;Consumer;Central;9481;Ibico Hi-Tech Manual Binding System;5,0;0,8;-533,7325;;Kelly Williams
;True;Standard Class;JE-15715;Consumer;Central;8459;"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets";3,0;0,8;-39,804;;Kelly Williams
;True;Standard Class;JE-15715;Consumer;Central;8460;"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""";3,0;0,8;-19,8144;;Kelly Williams
;True;Standard Class;ME-18010;Corporate;Central;7005;Xerox 2000;1,0;0,2;1,8144;;Kelly Williams
;True;Standard Class;ZC-21910;Consumer;Central;5678;Tenex Chairmats For Use with Hard Floors;3,0;0,6;-50,6688;;Kelly Williams
;True;Standard Class;SM-20950;Corporate;Central;4159;Southworth Parchment Paper & Envelopes;3,0;0,2;5,1012;;Kelly Williams
;True;Same Day;PS-18760;Consumer;Central;6938;Xerox 1902;2,0;0,2;11,8768;;Kelly Williams
;True;First Class;HL-15040;Consumer;Central;1658;DAX Value U-Channel Document Frames, Easel Back;7,0;0,0;10,7849;;Kelly Williams
;True;Second Class;KH-16360;Consumer;Central;9792;Staple envelope;6,0;0,2;21,024;;Kelly Williams
;True;Second Class;KH-16360;Consumer;Central;9793;Global Deluxe Steno Chair;2,0;0,3;-29,2524;;Kelly Williams
;True;Second Class;KH-16360;Consumer;Central;9794;Adams Telephone Message Books, 5 1/4” x 11”;1,0;0,2;1,6308;;Kelly Williams
;True;Second Class;KH-16360;Consumer;Central;9795;Ibico Plastic Spiral Binding Combs;3,0;0,8;-31,008;;Kelly Williams
;True;Standard Class;CM-11815;Corporate;Central;4559;Staple envelope;2,0;0,2;17,9684;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2608;KeyTronic KT400U2 - Keyboard - Black;3,0;0,2;0,0;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2609;Avery 520;1,0;0,2;0,882;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2610;Bretford CR4500 Series Slim Rectangular Table;5,0;0,3;-121,8735;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2611;Avery 52;2,0;0,2;1,9926;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2612;Southworth 25% Cotton Granite Paper & Envelopes;3,0;0,2;5,1012;;Kelly Williams
;True;Standard Class;MC-17590;Corporate;Central;2613;Master Caster Door Stop, Brown;3,0;0,6;-3,9624;;Kelly Williams
;True;Standard Class;PB-19105;Consumer;Central;2517;Ames Color-File Green Diamond Border X-ray Mailers;9,0;0,2;204,0714;;Kelly Williams
;True;Standard Class;KB-16585;Corporate;Central;2045;Xerox 203;3,0;0,2;5,4432;;Kelly Williams
;True;Standard Class;HM-14860;Corporate;Central;8022;Acco 6 Outlet Guardian Basic Surge Suppressor;3,0;0,8;-12,9792;;Kelly Williams
;True;Standard Class;HM-14860;Corporate;Central;8023;"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box";5,0;0,2;29,673;;Kelly Williams
;True;Standard Class;HM-14860;Corporate;Central;8024;Hon Every-Day Series Multi-Task Chairs;5,0;0,3;-93,99;;Kelly Williams
;True;Standard Class;HM-14860;Corporate;Central;8025;Acco Economy Flexible Poly Round Ring Binder;1,0;0,8;-1,827;;Kelly Williams
;True;First Class;JS-15940;Home Office;Central;1553;Avery 481;7,0;0,0;10,3488;;Kelly Williams
;True;Standard Class;SC-20020;Consumer;Central;7349;3.6 Cubic Foot Counter Height Office Refrigerator;3,0;0,8;-459,6072;;Kelly Williams
;True;First Class;CS-11845;Corporate;Central;9512;GBC VeloBind Cover Sets;3,0;0,8;-13,896;;Kelly Williams
;True;Second Class;MC-17590;Corporate;Central;8581;Contemporary Borderless Frame;3,0;0,6;-5,9409;;Kelly Williams
;True;Second Class;MC-17590;Corporate;Central;8582;Xerox 213;2,0;0,2;3,6288;;Kelly Williams
;True;Second Class;MC-17590;Corporate;Central;8583;SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card;2,0;0,2;-3,6372;;Kelly Williams
;True;Second Class;MC-17590;Corporate;Central;8584;Rogers Profile Extra Capacity Storage Tub;5,0;0,2;-13,392;;Kelly Williams
;True;Standard Class;CB-12025;Consumer;Central;6023;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;3,0;0,2;2,478;;Kelly Williams
;True;Standard Class;KB-16600;Corporate;Central;306;Newell 350;3,0;0,0;2,8536;;Kelly Williams
;True;Second Class;TB-21400;Consumer;Central;2646;"Executive Impressions 13"" Clairmont Wall Clock";3,0;0,0;23,6529;;Kelly Williams
;True;Second Class;TB-21400;Consumer;Central;2647;GBC Laser Imprintable Binding System Covers, Desert Sand;3,0;0,0;20,1207;;Kelly Williams
;True;Second Class;TB-21400;Consumer;Central;2648;Xerox 2000;2,0;0,0;6,2208;;Kelly Williams
;True;Second Class;TB-21400;Consumer;Central;2649;3M Polarizing Task Lamp with Clamp Arm, Light Gray;6,0;0,0;213,6888;;Kelly Williams
;True;Second Class;TB-21400;Consumer;Central;2650;Plantronics Cordless Phone Headset with In-line Volume - M214C;3,0;0,0;28,3095;;Kelly Williams
;True;Standard Class;SC-20380;Consumer;Central;7948;Plymouth Boxed Rubber Bands by Plymouth;5,0;0,2;-3,5325;;Kelly Williams
;True;Standard Class;SC-20380;Consumer;Central;7949;Harbour Creations Steel Folding Chair;6,0;0,3;0,0;;Kelly Williams
;True;Standard Class;SC-20380;Consumer;Central;7950;DAX Black Cherry Wood-Tone Poster Frame;6,0;0,6;-34,9536;;Kelly Williams
;True;Standard Class;SC-20380;Consumer;Central;7951;Fellowes Bankers Box Recycled Super Stor/Drawer;3,0;0,2;-22,6716;;Kelly Williams
;True;Second Class;DW-13480;Home Office;Central;245;Global Deluxe High-Back Manager's Chair;7,0;0,0;580,5394;;Kelly Williams
;True;Second Class;DW-13480;Home Office;Central;246;Safco Steel Mobile File Cart;2,0;0,0;41,68;;Kelly Williams
;True;Second Class;DW-13480;Home Office;Central;247;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;6,0;0,0;23,94;;Kelly Williams
;True;Second Class;DW-13480;Home Office;Central;248;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;5,0;0,0;496,0725;;Kelly Williams
;True;Second Class;DW-13480;Home Office;Central;249;Xerox 205;4,0;0,0;12,4416;;Kelly Williams
;True;Second Class;AM-10360;Corporate;Central;5418;GBC VeloBinder Strips;2,0;0,0;7,68;;Kelly Williams
;True;Standard Class;JG-15805;Corporate;Central;3827;Fellowes Personal Hanging Folder Files, Navy;10,0;0,2;10,744;;Kelly Williams
;True;Standard Class;MS-17710;Consumer;Central;3955;Advantus Panel Wall Acrylic Frame;1,0;0,0;2,3521;;Kelly Williams
;True;Standard Class;MS-17710;Consumer;Central;3956;Newell 319;4,0;0,0;23,808;;Kelly Williams
